Sample,Pig,Tissue,Day,Treatment
SRD129_P134_N_D21,134,N,D21,BB
SRD129_P135_N_D21,135,N,D21,BB
SRD129_P136_N_D21,136,N,D21,BB
SRD129_P137_N_D21,137,N,D21,BB
SRD129_P138_N_D21,138,N,D21,BB
SRD129_P139_N_D21,139,N,D21,BB
SRD129_P140_N_D21,140,N,D21,BB
SRD129_P141_N_D21,141,N,D21,BB
SRD129_P162_N_D21,162,N,D21,Control
SRD129_P163_N_D21,163,N,D21,Control
SRD129_P164_N_D21,164,N,D21,Control
SRD129_P165_N_D21,165,N,D21,Control
SRD129_P166_N_D21,166,N,D21,Control
SRD129_P167_N_D21,167,N,D21,Control
SRD129_P168_N_D21,168,N,D21,Control
SRD129_P169_N_D21,169,N,D21,Control
SRD129_P170_N_D21,170,N,D21,Control
SRD129_P171_N_D21,171,N,D21,Control
SRD129_P132_N_D28,132,N,D28,BB
SRD129_P133_N_D28,133,N,D28,BB
SRD129_P134_N_D28,134,N,D28,BB
SRD129_P135_N_D28,135,N,D28,BB
SRD129_P136_N_D28,136,N,D28,BB
SRD129_P137_N_D28,137,N,D28,BB
SRD129_P138_N_D28,138,N,D28,BB
SRD129_P139_N_D28,139,N,D28,BB
SRD129_P140_N_D28,140,N,D28,BB
SRD129_P141_N_D28,141,N,D28,BB
SRD129_P162_N_D28,162,N,D28,Control
SRD129_P169_N_D28,169,N,D28,Control
SRD129_P170_N_D28,170,N,D28,Control
SRD129_P171_N_D28,171,N,D28,Control
SRD129_P132_N_D3,132,N,D3,BB
SRD129_P133_N_D3,133,N,D3,BB
SRD129_P134_N_D3,134,N,D3,BB
SRD129_P135_N_D3,135,N,D3,BB
SRD129_P136_N_D3,136,N,D3,BB
SRD129_P137_N_D3,137,N,D3,BB
SRD129_P139_N_D3,139,N,D3,BB
SRD129_P140_N_D3,140,N,D3,BB
SRD129_P141_N_D3,141,N,D3,BB
SRD129_P162_N_D3,162,N,D3,Control
SRD129_P163_N_D3,163,N,D3,Control
SRD129_P164_N_D3,164,N,D3,Control
SRD129_P165_N_D3,165,N,D3,Control
SRD129_P166_N_D3,166,N,D3,Control
SRD129_P167_N_D3,167,N,D3,Control
SRD129_P168_N_D3,168,N,D3,Control
SRD129_P169_N_D3,169,N,D3,Control
SRD129_P170_N_D3,170,N,D3,Control
SRD129_P171_N_D3,171,N,D3,Control
SRD129_P132_N_D36,132,N,D36,BB
SRD129_P133_N_D36,133,N,D36,BB
SRD129_P134_N_D36,134,N,D36,BB
SRD129_P135_N_D36,135,N,D36,BB
SRD129_P136_N_D36,136,N,D36,BB
SRD129_P137_N_D36,137,N,D36,BB
SRD129_P138_N_D36,138,N,D36,BB
SRD129_P139_N_D36,139,N,D36,BB
SRD129_P140_N_D36,140,N,D36,BB
SRD129_P141_N_D36,141,N,D36,BB
SRD129_P162_N_D36,162,N,D36,Control
SRD129_P163_N_D36,163,N,D36,Control
SRD129_P164_N_D36,164,N,D36,Control
SRD129_P165_N_D36,165,N,D36,Control
SRD129_P166_N_D36,166,N,D36,Control
SRD129_P167_N_D36,167,N,D36,Control
SRD129_P168_N_D36,168,N,D36,Control
SRD129_P169_N_D36,169,N,D36,Control
SRD129_P170_N_D36,170,N,D36,Control
SRD129_P171_N_D36,171,N,D36,Control
SRD129_P132_N_D42,132,N,D42,BB
SRD129_P133_N_D42,133,N,D42,BB
SRD129_P134_N_D42,134,N,D42,BB
SRD129_P135_N_D42,135,N,D42,BB
SRD129_P136_N_D42,136,N,D42,BB
SRD129_P137_N_D42,137,N,D42,BB
SRD129_P138_N_D42,138,N,D42,BB
SRD129_P139_N_D42,139,N,D42,BB
SRD129_P140_N_D42,140,N,D42,BB
SRD129_P141_N_D42,141,N,D42,BB
SRD129_P162_N_D42,162,N,D42,Control
SRD129_P163_N_D42,163,N,D42,Control
SRD129_P164_N_D42,164,N,D42,Control
SRD129_P165_N_D42,165,N,D42,Control
SRD129_P166_N_D42,166,N,D42,Control
SRD129_P167_N_D42,167,N,D42,Control
SRD129_P168_N_D42,168,N,D42,Control
SRD129_P169_N_D42,169,N,D42,Control
SRD129_P170_N_D42,170,N,D42,Control
SRD129_P171_N_D42,171,N,D42,Control
SRD129_P132_N_D7,132,N,D7,BB
SRD129_P135_N_D7,135,N,D7,BB
SRD129_P136_N_D7,136,N,D7,BB
SRD129_P137_N_D7,137,N,D7,BB
SRD129_P138_N_D7,138,N,D7,BB
SRD129_P139_N_D7,139,N,D7,BB
SRD129_P140_N_D7,140,N,D7,BB
SRD129_P141_N_D7,141,N,D7,BB
SRD129_P162_N_D7,162,N,D7,Control
SRD129_P163_N_D7,163,N,D7,Control
SRD129_P164_N_D7,164,N,D7,Control
SRD129_P165_N_D7,165,N,D7,Control
SRD129_P166_N_D7,166,N,D7,Control
SRD129_P167_N_D7,167,N,D7,Control
SRD129_P168_N_D7,168,N,D7,Control
SRD129_P169_N_D7,169,N,D7,Control
SRD129_P170_N_D7,170,N,D7,Control
SRD129_P171_N_D7,171,N,D7,Control
