Day,Treatment,Genus,Percent abundance,
D42,BB,Carnobacteriaceae_unclassified,2.52,
D42,BB,Lactococcus,2.51,
D42,BB,Aerococcus,2.34,
D42,BB,Lachnospiraceae_unclassified,2.14,
D42,BB,Prevotella_9,2.14,
D42,BB,Clostridium_sensu_stricto_1,1.80,
D42,BB,Weissella,1.79,
D42,BB,Prevotellaceae_unclassified,1.67,
D42,BB,Rikenellaceae_RC9_gut_group,1.48,
D42,BB,Lachnospiraceae_XPB1014_group,1.39,
D42,BB,Kurthia,1.22,
D42,BB,Leuconostoc,1.07,
D42,BB,Corynebacterium_1,1.06,
D42,BB,Phascolarctobacterium,1.04,
D42,BB,Staphylococcus,1.03,
D42,BB,Other,17.20,
D42,Control,Moraxella,29.53,
D42,Control,Streptococcus,11.14,
D42,Control,Prevotellaceae_NK3B31_group,8.67,
D42,Control,Weeksellaceae_unclassified,6.48,
D42,Control,Lactobacillus,4.14,
D42,Control,Neisseriaceae_unclassified,3.50,
D42,Control,Treponema_2,2.39,
D42,Control,Carnobacteriaceae_unclassified,2.21,
D42,Control,Actinobacillus,2.04,
D42,Control,Lachnospiraceae_unclassified,1.86,
D42,Control,Clostridium_sensu_stricto_1,1.82,
D42,Control,Prevotella_9,1.75,
D42,Control,Weissella,1.56,
D42,Control,Phascolarctobacterium,1.42,
D42,Control,Ruminococcaceae_UCG-005,1.23,
D42,Control,Prevotellaceae_UCG-003,1.08,
D42,Control,Lachnospiraceae_AC2044_group,1.03,
D42,Control,Lactococcus,1.01,
D42,Control,Other,17.14,
