"","group","Pig","Tissue","Day","Treatment","Genus","value","All","value2"
"11109","SRD129_P141_N_D10",141,"N","D10","BB","Fusobacterium",5e-04,"D10_BB",0.005
"11110","SRD129_P141_N_D14",141,"N","D14","BB","Fusobacterium",0,"D14_BB",0
"11111","SRD129_P141_N_D21",141,"N","D21","BB","Fusobacterium",0,"D21_BB",0
"11112","SRD129_P141_N_D28",141,"N","D28","BB","Fusobacterium",0,"D28_BB",0
"11113","SRD129_P141_N_D3",141,"N","D3","BB","Fusobacterium",0.00150075037518759,"D3_BB",0.016675004168751
"11114","SRD129_P141_N_D36",141,"N","D36","BB","Fusobacterium",0,"D36_BB",0
"11115","SRD129_P141_N_D42",141,"N","D42","BB","Fusobacterium",0.000503524672708963,"D42_BB",0.00503524672708963
"11116","SRD129_P141_N_D7",141,"N","D7","BB","Fusobacterium",0.00100200400801603,"D7_BB",0.0125250501002004
"11117","SRD129_P162_N_D0",162,"N","D0","Control","Fusobacterium",0.014,"D0_Control",0.14
"11118","SRD129_P162_N_D1",162,"N","D1","Control","Fusobacterium",0.02,"D1_Control",0.2
"11119","SRD129_P162_N_D10",162,"N","D10","Control","Fusobacterium",0,"D10_Control",0
