"","group","Pig","Tissue","Day","Treatment","Genus","value","All","value2"
"11120","SRD129_P162_N_D14",162,"N","D14","Control","Fusobacterium",0,"D14_Control",0
"11121","SRD129_P162_N_D21",162,"N","D21","Control","Fusobacterium",0.0100250626566416,"D21_Control",0.100250626566416
"11122","SRD129_P162_N_D28",162,"N","D28","Control","Fusobacterium",0,"D28_Control",0
"11123","SRD129_P162_N_D3",162,"N","D3","Control","Fusobacterium",0.00250375563345018,"D3_Control",0.0250375563345018
"11124","SRD129_P162_N_D36",162,"N","D36","Control","Fusobacterium",0.000502008032128514,"D36_Control",0.00502008032128514
"11125","SRD129_P162_N_D42",162,"N","D42","Control","Fusobacterium",0,"D42_Control",0
"11126","SRD129_P162_N_D7",162,"N","D7","Control","Fusobacterium",0,"D7_Control",0
"11127","SRD129_P163_N_D0",163,"N","D0","Control","Fusobacterium",0.00150905432595573,"D0_Control",0.0150905432595573
"11128","SRD129_P163_N_D1",163,"N","D1","Control","Fusobacterium",0.0115230460921844,"D1_Control",0.115230460921844
"11129","SRD129_P163_N_D10",163,"N","D10","Control","Fusobacterium",0.000500751126690035,"D10_Control",0.00500751126690035
"11130","SRD129_P163_N_D14",163,"N","D14","Control","Fusobacterium",0.000500751126690035,"D14_Control",0.00500751126690035
"11131","SRD129_P163_N_D21",163,"N","D21","Control","Fusobacterium",0.00100150225338007,"D21_Control",0.0100150225338007
"11132","SRD129_P163_N_D3",163,"N","D3","Control","Fusobacterium",0.0225338007010516,"D3_Control",0.225338007010516
"11133","SRD129_P163_N_D36",163,"N","D36","Control","Fusobacterium",0.00100150225338007,"D36_Control",0.0100150225338007
"11134","SRD129_P163_N_D42",163,"N","D42","Control","Fusobacterium",0.0005005005005005,"D42_Control",0.005005005005005
"11135","SRD129_P163_N_D7",163,"N","D7","Control","Fusobacterium",0.00150300601202405,"D7_Control",0.0150300601202405
"11136","SRD129_P164_N_D0",164,"N","D0","Control","Fusobacterium",0.000500250125062531,"D0_Control",0.00500250125062531
"11137","SRD129_P164_N_D1",164,"N","D1","Control","Fusobacterium",0.00400200100050025,"D1_Control",0.0400200100050025
