"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp","Family_Genus"
"Otu0244",7.21181822686664,1.47590658441328,0.455122404349176,3.24287833406889,0.00118328729234736,0.00480258586375459,"Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","p-1088-a5_gut_group","5.0e-03","BB","Otu0244","D36_BBvsControl","Pirellulaceae p-1088-a5_gut_group"
"Otu0261",6.29329287777008,5.23624247876282,0.695247651564401,7.53147812434975,5.01691175795122e-14,1.19569730231171e-12,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Gallicola","0.0e+00","BB","Otu0261","D36_BBvsControl","Family_XI Gallicola"
"Otu02752",11.3637595735264,5.39592104532092,0.649325080094175,8.31004563159385,9.56652786087957e-17,3.04002996467951e-15,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Facklamia","0.0e+00","BB","Otu0275","D36_BBvsControl","Aerococcaceae Facklamia"
"Otu02892",1.11495321538027,-2.96528132360175,0.985945913062765,-3.00754968839044,0.00263363066697167,0.00965664577889614,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","1.0e-02","Control","Otu0289","D36_BBvsControl","Gammaproteobacteria_unclassified Gammaproteobacteria_unclassified"
"Otu02921",8.44255095880018,2.75169583063462,0.84538387338703,3.25496607784811,0.00113405910475655,0.00473651007932148,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Acidaminococcus","5.0e-03","BB","Otu0292","D36_BBvsControl","Acidaminococcaceae Acidaminococcus"
"Otu03022",6.30533563546603,3.29095581047295,0.665666011485681,4.94385435592236,7.65929339254583e-07,6.08488308407808e-06,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","uncultured","0.0e+00","BB","Otu0302","D36_BBvsControl","Carnobacteriaceae uncultured"
"Otu03231",7.18685267331982,-1.52625073227586,0.438102795409247,-3.48377309679144,0.000494398439256743,0.00217535313272967,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group","Clostridiales_vadinBB60_group_ge","2.0e-03","Control","Otu0323","D36_BBvsControl","Clostridiales_vadinBB60_group Clostridiales_vadinBB60_group_ge"
"Otu0339",5.83874153137594,5.48815376665783,1.49875943836274,3.66179763488471,0.000250451665570879,0.00120188561599644,"Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","1.0e-03","BB","Otu0339","D36_BBvsControl","Mycoplasmataceae Mycoplasma"
"Otu03531",3.16676132650414,-2.91066114229136,0.761840226742111,-3.82056636040124,0.00013314557372251,0.000668063755870841,"Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter","1.0e-03","Control","Otu0353","D36_BBvsControl","Fibrobacteraceae Fibrobacter"
"Otu03652",5.79262407285913,-3.31050036044954,0.642797128479837,-5.1501480230296,2.60280957032006e-07,2.25576829427739e-06,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerosphaera","0.0e+00","Control","Otu0365","D36_BBvsControl","Aerococcaceae Aerosphaera"
"Otu0374",6.22954890006959,3.98513886534634,0.698658648247777,5.70398559488385,1.17037972310805e-08,1.07976968002872e-07,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Allisonella","0.0e+00","BB","Otu0374","D36_BBvsControl","Veillonellaceae Allisonella"
"Otu03752",8.94136217990878,-1.70163546163716,0.430660613634808,-3.95122146712053,7.7753329201522e-05,0.00039709735985063,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Family_XIII_unclassified","0.0e+00","Control","Otu0375","D36_BBvsControl","Family_XIII Family_XIII_unclassified"
"Otu0376",5.27122722004909,1.86120154430009,0.590985888858546,3.14931638705434,0.00163652912413417,0.00632496391219422,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_UCG-004","6.0e-03","BB","Otu0376","D36_BBvsControl","Lachnospiraceae Lachnospiraceae_UCG-004"
